player,round,hole,strokes,par,yds,score,tourney
"Laudani, Nicolas",1,4,5,5,301,0,us open
"Laudani, Nicolas",1,5,3,3,100,0,us open
"Laudani, Nicolas",1,6,5,5,246,0,us open
"Laudani, Nicolas",1,7,4,4,200,0,us open
"Laudani, Nicolas",1,8,4,3,135,1,us open
"Laudani, Nicolas",1,9,5,4,267,1,us open
"Laudani, Nicolas",1,10,5,4,225,1,us open
"Laudani, Nicolas",1,11,5,5,259,0,us open
"Laudani, Nicolas",1,12,3,3,96,0,us open
"Laudani, Nicolas",1,13,4,4,162,0,us open
"Laudani, Nicolas",1,14,4,5,250,-1,us open
"Laudani, Nicolas",1,15,4,4,230,0,us open
"Laudani, Nicolas",1,16,3,4,144,-1,us open
"Laudani, Nicolas",1,17,5,4,235,1,us open
"Laudani, Nicolas",1,18,3,3,95,0,us open
"Reyes, Angel",1,1,3,4,235,-1,us open
"Reyes, Angel",1,2,4,4,215,0,us open
"Reyes, Angel",1,3,2,4,289,-2,us open
"Reyes, Angel",1,4,6,5,301,1,us open
"Reyes, Angel",1,5,3,3,100,0,us open
"Reyes, Angel",1,6,6,5,246,1,us open
"Reyes, Angel",1,7,6,4,200,2,us open
"Reyes, Angel",1,8,4,3,135,1,us open
"Reyes, Angel",1,9,4,4,267,0,us open
"Reyes, Angel",1,10,5,4,225,1,us open
"Reyes, Angel",1,11,4,5,259,-1,us open
"Reyes, Angel",1,12,3,3,96,0,us open
"Reyes, Angel",1,13,5,4,162,1,us open
"Reyes, Angel",1,14,4,5,250,-1,us open
"Reyes, Angel",1,15,4,4,230,0,us open
"Reyes, Angel",1,16,3,4,144,-1,us open
"Reyes, Angel",1,17,5,4,235,1,us open
"Reyes, Angel",1,18,3,3,95,0,us open
"Arai, Susumu",1,1,5,4,235,1,us open
"Arai, Susumu",1,2,5,4,215,1,us open
"Arai, Susumu",1,3,3,4,289,-1,us open
"Arai, Susumu",1,4,6,5,301,1,us open
"Arai, Susumu",1,5,2,3,100,-1,us open
"Arai, Susumu",1,6,6,5,246,1,us open
"Arai, Susumu",1,7,4,4,200,0,us open
"Arai, Susumu",1,8,4,3,135,1,us open
"Arai, Susumu",1,9,5,4,267,1,us open
"Arai, Susumu",1,10,5,4,225,1,us open
"Arai, Susumu",1,11,4,5,259,-1,us open
"Arai, Susumu",1,12,3,3,96,0,us open
"Arai, Susumu",1,13,4,4,162,0,us open
"Arai, Susumu",1,14,4,5,250,-1,us open
"Arai, Susumu",1,15,4,4,230,0,us open
"Arai, Susumu",1,16,4,4,144,0,us open
"Arai, Susumu",1,17,4,4,235,0,us open
"Arai, Susumu",1,18,3,3,95,0,us open
"Perrone, Matias",1,1,5,4,235,1,us open
"Perrone, Matias",1,2,4,4,215,0,us open
"Perrone, Matias",1,3,4,4,289,0,us open
"Perrone, Matias",1,4,6,5,301,1,us open
"Perrone, Matias",1,5,3,3,100,0,us open
"Perrone, Matias",1,6,5,5,246,0,us open
"Perrone, Matias",1,7,5,4,200,1,us open
"Perrone, Matias",1,8,3,3,135,0,us open
"Perrone, Matias",1,9,5,4,267,1,us open
"Perrone, Matias",1,10,4,4,225,0,us open
"Perrone, Matias",1,11,5,5,259,0,us open
"Perrone, Matias",1,12,3,3,96,0,us open
"Perrone, Matias",1,13,3,4,162,-1,us open
"Perrone, Matias",1,14,4,5,250,-1,us open
"Perrone, Matias",1,15,4,4,230,0,us open
"Perrone, Matias",1,16,4,4,144,0,us open
"Perrone, Matias",1,17,4,4,235,0,us open
"Perrone, Matias",1,18,3,3,95,0,us open
"Fleck, Ken",1,1,5,4,235,1,us open
"Fleck, Ken",1,2,4,4,215,0,us open
"Fleck, Ken",1,3,2,4,289,-2,us open
"Fleck, Ken",1,4,7,5,301,2,us open
"Fleck, Ken",1,5,3,3,100,0,us open
"Fleck, Ken",1,6,4,5,246,-1,us open
"Fleck, Ken",1,7,5,4,200,1,us open
"Fleck, Ken",1,8,4,3,135,1,us open
"Fleck, Ken",1,9,4,4,267,0,us open
"Fleck, Ken",1,10,6,4,225,2,us open
"Fleck, Ken",1,11,6,5,259,1,us open
"Fleck, Ken",1,12,3,3,96,0,us open
"Fleck, Ken",1,13,3,4,162,-1,us open
"Fleck, Ken",1,14,4,5,250,-1,us open
"Fleck, Ken",1,15,4,4,230,0,us open
"Fleck, Ken",1,16,4,4,144,0,us open
"Fleck, Ken",1,17,4,4,235,0,us open
"Fleck, Ken",1,18,3,3,95,0,us open
"Barragan, Arturo",1,1,5,4,235,1,us open
"Barragan, Arturo",1,2,4,4,215,0,us open
"Barragan, Arturo",1,3,2,4,289,-2,us open
"Barragan, Arturo",1,4,5,5,301,0,us open
"Barragan, Arturo",1,5,3,3,100,0,us open
"Barragan, Arturo",1,6,5,5,246,0,us open
"Barragan, Arturo",1,7,4,4,200,0,us open
"Barragan, Arturo",1,8,3,3,135,0,us open
"Barragan, Arturo",1,9,4,4,267,0,us open
"Barragan, Arturo",1,10,4,4,225,0,us open
"Barragan, Arturo",1,11,4,5,259,-1,us open
"Barragan, Arturo",1,12,3,3,96,0,us open
"Barragan, Arturo",1,13,4,4,162,0,us open
"Barragan, Arturo",1,14,4,5,250,-1,us open
"Barragan, Arturo",1,15,4,4,230,0,us open
"Barragan, Arturo",1,16,3,4,144,-1,us open
"Barragan, Arturo",1,17,5,4,235,1,us open
"Barragan, Arturo",1,18,3,3,95,0,us open
"Valdez, Pier",1,1,4,4,235,0,us open
"Valdez, Pier",1,2,4,4,215,0,us open
"Valdez, Pier",1,3,2,4,289,-2,us open
"Valdez, Pier",1,4,5,5,301,0,us open
"Valdez, Pier",1,5,3,3,100,0,us open
"Valdez, Pier",1,6,6,5,246,1,us open
"Valdez, Pier",1,7,5,4,200,1,us open
"Valdez, Pier",1,8,4,3,135,1,us open
"Valdez, Pier",1,9,4,4,267,0,us open
"Valdez, Pier",1,10,4,4,225,0,us open
"Valdez, Pier",1,11,5,5,259,0,us open
"Valdez, Pier",1,12,4,3,96,1,us open
"Valdez, Pier",1,13,5,4,162,1,us open
"Valdez, Pier",1,14,5,5,250,0,us open
"Valdez, Pier",1,15,3,4,230,-1,us open
"Valdez, Pier",1,16,4,4,144,0,us open
"Valdez, Pier",1,17,4,4,235,0,us open
"Valdez, Pier",1,18,3,3,95,0,us open
"Bartko, Tomas",1,1,4,4,235,0,us open
"Bartko, Tomas",1,2,5,4,215,1,us open
"Bartko, Tomas",1,3,4,4,289,0,us open
"Bartko, Tomas",1,4,5,5,301,0,us open
"Bartko, Tomas",1,5,4,3,100,1,us open
"Bartko, Tomas",1,6,4,5,246,-1,us open
"Bartko, Tomas",1,7,3,4,200,-1,us open
"Bartko, Tomas",1,8,4,3,135,1,us open
"Bartko, Tomas",1,9,6,4,267,2,us open
"Bartko, Tomas",1,10,4,4,225,0,us open
"Bartko, Tomas",1,11,3,5,259,-2,us open
"Bartko, Tomas",1,12,3,3,96,0,us open
"Bartko, Tomas",1,13,4,4,162,0,us open
"Bartko, Tomas",1,14,5,5,250,0,us open
"Bartko, Tomas",1,15,3,4,230,-1,us open
"Bartko, Tomas",1,16,4,4,144,0,us open
"Bartko, Tomas",1,17,5,4,235,1,us open
"Bartko, Tomas",1,18,3,3,95,0,us open
"Menor, Piero",1,1,5,4,235,1,us open
"Menor, Piero",1,2,4,4,215,0,us open
"Menor, Piero",1,3,3,4,289,-1,us open
"Menor, Piero",1,4,7,5,301,2,us open
"Menor, Piero",1,5,3,3,100,0,us open
"Menor, Piero",1,6,4,5,246,-1,us open
"Menor, Piero",1,7,6,4,200,2,us open
"Menor, Piero",1,8,3,3,135,0,us open
"Menor, Piero",1,9,4,4,267,0,us open
"Menor, Piero",1,10,5,4,225,1,us open
"Menor, Piero",1,11,5,5,259,0,us open
"Menor, Piero",1,12,2,3,96,-1,us open
"Menor, Piero",1,13,4,4,162,0,us open
"Menor, Piero",1,14,4,5,250,-1,us open
"Menor, Piero",1,15,4,4,230,0,us open
"Menor, Piero",1,16,3,4,144,-1,us open
"Menor, Piero",1,17,5,4,235,1,us open
"Menor, Piero",1,18,3,3,95,0,us open
"David, Thomas",1,1,6,4,235,2,us open
"David, Thomas",1,2,4,4,215,0,us open
"David, Thomas",1,3,4,4,289,0,us open
"David, Thomas",1,4,5,5,301,0,us open
"David, Thomas",1,5,2,3,100,-1,us open
"David, Thomas",1,6,5,5,246,0,us open
"David, Thomas",1,7,5,4,200,1,us open
"David, Thomas",1,8,4,3,135,1,us open
"David, Thomas",1,9,5,4,267,1,us open
"David, Thomas",1,10,5,4,225,1,us open
"David, Thomas",1,11,4,5,259,-1,us open
"David, Thomas",1,12,3,3,96,0,us open
"David, Thomas",1,13,4,4,162,0,us open
"David, Thomas",1,14,4,5,250,-1,us open
"David, Thomas",1,15,5,4,230,1,us open
"David, Thomas",1,16,4,4,144,0,us open
"David, Thomas",1,17,4,4,235,0,us open
"David, Thomas",1,18,3,3,95,0,us open
"Leffler, Ruben",1,1,7,4,235,3,us open
"Leffler, Ruben",1,2,4,4,215,0,us open
"Leffler, Ruben",1,3,3,4,289,-1,us open
"Leffler, Ruben",1,4,6,5,301,1,us open
"Leffler, Ruben",1,5,4,3,100,1,us open
"Leffler, Ruben",1,6,5,5,246,0,us open
"Leffler, Ruben",1,7,4,4,200,0,us open
