player,round,hole,strokes,par,score
"Barron, Mario Cesar",1,3,3,3,0
"Barron, Mario Cesar",1,4,4,4,0
"Barron, Mario Cesar",1,5,5,4,1
"Barron, Mario Cesar",1,6,5,4,1
"Barron, Mario Cesar",1,7,4,5,-1
"Barron, Mario Cesar",1,8,3,3,0
"Barron, Mario Cesar",1,9,4,4,0
"Barron, Mario Cesar",1,10,4,4,0
"Barron, Mario Cesar",1,11,6,5,1
"Barron, Mario Cesar",1,12,2,3,-1
"Barron, Mario Cesar",1,13,3,4,-1
"Barron, Mario Cesar",1,14,6,5,1
"Barron, Mario Cesar",1,15,4,4,0
"Barron, Mario Cesar",1,16,3,3,0
"Barron, Mario Cesar",1,17,3,4,-1
"Barron, Mario Cesar",1,18,5,4,1
"Shuey, Nathan",1,1,5,5,0
"Shuey, Nathan",1,2,4,4,0
"Shuey, Nathan",1,3,2,3,-1
"Shuey, Nathan",1,4,4,4,0
"Shuey, Nathan",1,5,4,4,0
"Shuey, Nathan",1,6,4,4,0
"Shuey, Nathan",1,7,5,5,0
"Shuey, Nathan",1,8,4,3,1
"Shuey, Nathan",1,9,4,4,0
"Shuey, Nathan",1,10,4,4,0
"Shuey, Nathan",1,11,6,5,1
"Shuey, Nathan",1,12,3,3,0
"Shuey, Nathan",1,13,3,4,-1
"Shuey, Nathan",1,14,7,5,2
"Shuey, Nathan",1,15,3,4,-1
"Shuey, Nathan",1,16,3,3,0
"Shuey, Nathan",1,17,4,4,0
"Shuey, Nathan",1,18,4,4,0
"Reidt, Chris",1,1,5,5,0
"Reidt, Chris",1,2,4,4,0
"Reidt, Chris",1,3,3,3,0
"Reidt, Chris",1,4,4,4,0
"Reidt, Chris",1,5,4,4,0
"Reidt, Chris",1,6,3,4,-1
"Reidt, Chris",1,7,5,5,0
"Reidt, Chris",1,8,3,3,0
"Reidt, Chris",1,9,5,4,1
"Reidt, Chris",1,10,5,4,1
"Reidt, Chris",1,11,5,5,0
"Reidt, Chris",1,12,2,3,-1
"Reidt, Chris",1,13,4,4,0
"Reidt, Chris",1,14,5,5,0
"Reidt, Chris",1,15,4,4,0
"Reidt, Chris",1,16,3,3,0
"Reidt, Chris",1,17,4,4,0
"Reidt, Chris",1,18,5,4,1
"Baldini, Davide",1,1,6,5,1
"Baldini, Davide",1,2,4,4,0
"Baldini, Davide",1,3,2,3,-1
"Baldini, Davide",1,4,5,4,1
"Baldini, Davide",1,5,4,4,0
"Baldini, Davide",1,6,3,4,-1
"Baldini, Davide",1,7,5,5,0
"Baldini, Davide",1,8,3,3,0
"Baldini, Davide",1,9,4,4,0
"Baldini, Davide",1,10,4,4,0
"Baldini, Davide",1,11,5,5,0
