player,round,hole,strokes,par,score
"Wojtyla, Bart",1,2,4,4,0
"Wojtyla, Bart",1,3,3,3,0
"Wojtyla, Bart",1,4,4,4,0
"Wojtyla, Bart",1,5,4,4,0
"Wojtyla, Bart",1,6,4,4,0
"Wojtyla, Bart",1,7,3,3,0
"Wojtyla, Bart",1,8,4,4,0
"Wojtyla, Bart",1,9,5,5,0
"Wojtyla, Bart",1,10,4,4,0
"Wojtyla, Bart",1,11,2,4,-2
"Wojtyla, Bart",1,12,3,3,0
"Wojtyla, Bart",1,13,4,4,0
"Wojtyla, Bart",1,14,5,5,0
"Wojtyla, Bart",1,15,4,4,0
"Wojtyla, Bart",1,16,4,4,0
"Wojtyla, Bart",1,17,5,5,0
"Wojtyla, Bart",1,18,3,3,0
"Olmedo, Sebastian Andres",1,1,5,5,0
"Olmedo, Sebastian Andres",1,2,4,4,0
"Olmedo, Sebastian Andres",1,3,4,3,1
"Olmedo, Sebastian Andres",1,4,6,4,2
"Olmedo, Sebastian Andres",1,5,5,4,1
"Olmedo, Sebastian Andres",1,6,3,4,-1
"Olmedo, Sebastian Andres",1,7,3,3,0
"Olmedo, Sebastian Andres",1,8,4,4,0
"Olmedo, Sebastian Andres",1,9,4,5,-1
"Olmedo, Sebastian Andres",1,10,3,4,-1
"Olmedo, Sebastian Andres",1,11,4,4,0
"Olmedo, Sebastian Andres",1,12,3,3,0
"Olmedo, Sebastian Andres",1,13,4,4,0
"Olmedo, Sebastian Andres",1,14,5,5,0
"Olmedo, Sebastian Andres",1,15,4,4,0
"Olmedo, Sebastian Andres",1,16,5,4,1
"Olmedo, Sebastian Andres",1,17,5,5,0
"Olmedo, Sebastian Andres",1,18,2,3,-1
"Menor, Piero",1,1,5,5,0
"Menor, Piero",1,2,4,4,0
"Menor, Piero",1,3,4,3,1
"Menor, Piero",1,4,4,4,0
"Menor, Piero",1,5,4,4,0
"Menor, Piero",1,6,3,4,-1
"Menor, Piero",1,7,3,3,0
"Menor, Piero",1,8,4,4,0
"Menor, Piero",1,9,5,5,0
"Menor, Piero",1,10,4,4,0
"Menor, Piero",1,11,4,4,0
"Menor, Piero",1,12,3,3,0
"Menor, Piero",1,13,4,4,0
"Menor, Piero",1,14,5,5,0
